Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41b;Eleveurs d'insectes, d'animaux sauvages ou de compagnie
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X42;Bûcherons, sylviculteurs et agents forestiers;A0X42a;Bûcherons et élagueurs
A;Agriculture, marine, pêche;A1X;Maraîchers, jardiniers, viticulteurs;A1X42;Viticulteurs, arboriculteurs;A1X42;Viticulteurs, arboriculteurs
A;Agriculture, marine, pêche;A2X;Techniciens et cadres de l'agriculture;A2X70;Techniciens et agents d'encadrement d'exploitations agricoles;A2X70a;Techniciens et agents de conseil et assistance technique en agriculture
B;Bâtiment, travaux publics;B0X;Ouvriers des travaux publics, du béton et de l'extraction;B0X32;Ouvriers de la construction en béton;B0X32a;Ouvriers peu qualifiés en construction en béton
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X33;Charpentiers (métal et bois);B1X33a;Charpentiers peu qualifiés
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X34;Couvreurs;B1X34a;Couvreurs peu qualifiés
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X34;Couvreurs;B1X34b;Couvreurs qualifiés
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X38;Professionnels du travail de la pierre et des matériaux associés;B1X38;Professionnels du travail de la pierre et des matériaux associés
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X32;Ouvriers en électricité du bâtiment;B2X32a;Ouvriers peu qualifiés en électricité du bâtiment
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X33;Plombiers chauffagistes;B2X33a;Plombiers, chauffagistes peu qualifiés
B;Bâtiment, travaux publics;B5X;Conducteurs d'engins du bâtiment et des travaux publics;B5X40;Conducteurs d'engins du bâtiment et des travaux publics;B5X40a;Conducteurs de grue
B;Bâtiment, travaux publics;B7X;Cadres du bâtiment et des travaux publics;B7X90;Architectes;B7X90;Architectes
C;Électricité, électronique;C0X;Ouvriers de l'électricité et de l'électronique;C0X30;Ouvriers de l'électricité et de l'électronique;C0X30b;Ouvriers qualifiés de l'électricité et de l'électronique
D;Mécanique, travail des métaux;D0X;Ouvriers travaillant par enlèvement de métal;D0X30;Ouvriers peu qualifiés en conduite d'équipement d'usinage;D0X30;Ouvriers peu qualifiés en conduite d'équipement d'usinage
D;Mécanique, travail des métaux;D1X;Ouvriers travaillant par formage de métal;D1X30;Ouvriers en chaudronnerie et tôlerie;D1X30a;Ouvriers peu qualifiés en chaudronnerie et tôlerie
D;Mécanique, travail des métaux;D1X;Ouvriers travaillant par formage de métal;D1X30;Ouvriers en chaudronnerie et tôlerie;D1X30b;Ouvriers qualifiés en chaudronnerie et tôlerie
D;Mécanique, travail des métaux;D1X;Ouvriers travaillant par formage de métal;D1X32;Tuyauteurs;D1X32;Tuyauteurs
D;Mécanique, travail des métaux;D1X;Ouvriers travaillant par formage de métal;D1X33;Soudeurs;D1X33a;Ouvriers peu qualifiés en soudage
D;Mécanique, travail des métaux;D2X;Ouvriers de la mécanique et du traitement de surface;D2X31;Ouvriers qualifiés en ajustement, montage et assemblage mécanique;D2X31;Ouvriers qualifiés en ajustement, montage et assemblage mécanique
D;Mécanique, travail des métaux;D6X;Techniciens et agents de maîtrise des industries mécaniques;D6X80;Agents de maîtrise et assimilés en fabrication mécanique;D6X80;Agents de maîtrise et assimilés en fabrication mécanique
E;Industries de process;E0X;Pilotes d'installation lourdes des industries de transformation et d'énergie;E0X30;Pilotes d'installation lourdes des industries de transformation et d'énergie;E0X30;Pilotes d'installation lourdes des industries de transformation et d'énergie
E;Industries de process;E1X;Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction;E1X30;Ouvriers de l'industrie verrière, céramique et matériaux de construction;E1X30a;Ouvriers peu qualifiés de l'industrie verrière, céramique et matériaux de construction
E;Industries de process;E1X;Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction;E1X30;Ouvriers de l'industrie verrière, céramique et matériaux de construction;E1X30b;Ouvriers qualifiés de l'industrie verrière, céramique et matériaux de construction
E;Industries de process;E2X;Ouvriers des industries chimiques et plastiques;E2X20;Ouvriers peu qualifiés des industries chimiques et plastiques;E2X20;Ouvriers peu qualifiés des industries chimiques et plastiques
E;Industries de process;E4X;Autres ouvriers des industries de process;E4X32;Ouvriers du conditionnement, du tri et de l'emballage;E4X32a;Ouvriers peu qualifiés du conditionnement, du tri et de l'emballage
F;Matériaux souples, bois, industries graphiques;F0X;Ouvriers, techniciens et agents de maîtrise du textile et du cuir;F0X32;Ouvriers, techniciens et agents de maîtrise du textile;F0X32;Ouvriers, techniciens et agents de maîtrise du textile
F;Matériaux souples, bois, industries graphiques;F1X;Ouvriers et techniciens du travail du bois et de l'ameublement;F1X31;Ouvriers et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois;F1X31b;Ouvriers qualifiés et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois
G;Maintenance;G0A;Ouvriers qualifiés de la maintenance;G0A40;Ouvriers de la maintenance générale et mécanique;G0A40a;Ouvriers en réparation - montage en systèmes horlogers
G;Maintenance;G0A;Ouvriers qualifiés de la maintenance;G0A40;Ouvriers de la maintenance générale et mécanique;G0A40c;Ouvriers en installation maintenance en nautisme, mécanique de marine et aéronefs
G;Maintenance;G0A;Ouvriers qualifiés de la maintenance;G0A41;Ouvriers de la maintenance en électricité et en électronique;G0A41;Ouvriers de la maintenance en électricité et en électronique
G;Maintenance;G0A;Ouvriers qualifiés de la maintenance;G0A43;Ouvriers polyvalents d'entretien du bâtiment;G0A43;Ouvriers polyvalents d'entretien du bâtiment
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B40;Carrossiers automobiles;G0B40a;Ouvriers peu qualifiés en réparation de carrosserie
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41a;Ouvriers peu qualifiés en maintenance d'engins de chantier, de levage, manutention et agricoles
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41b;Ouvriers peu qualifiés en mécanique automobile
